transcript,VHmode,Hmode,Nmode,Lmode
ath-miR840-5p,NA,NA,NA,NA
ath-miR398a-5p,NA,10,,
ath-miR398a-3p,NA,NA,NA,NA
ath-miR8180,8,,,
ath-miR5646,NA,NA,NA,NA
ath-miR8175,NA,10,,13
ath-miR396a-3p,NA,NA,NA,NA
ath-miR396a-5p,NA,NA,NA,14
ath-miR855,NA,NA,NA,9
ath-miR5020c,NA,NA,NA,NA
ath-miR8168,NA,NA,6,
ath-miR416,NA,NA,NA,NA
ath-miR5013,NA,NA,NA,NA
ath-miR5632-3p,NA,NA,NA,NA
ath-miR5632-5p,NA,NA,NA,NA
ath-miR156g,NA,NA,NA,NA
ath-miR5012,NA,NA,NA,NA
ath-miR8167a,NA,NA,13,
ath-miR779.2,NA,NA,NA,NA
ath-miR779.1,NA,NA,NA,NA
ath-miR405a,NA,NA,NA,NA
ath-miR5016,NA,NA,NA,NA
ath-miR844-3p,NA,15,,
ath-miR844-5p,NA,NA,NA,NA
ath-miR5995b,NA,NA,NA,NA
ath-miR5595a,NA,NA,NA,NA
ath-miR831-5p,NA,NA,NA,NA
ath-miR831-3p,NA,NA,NA,NA
ath-miR5639-5p,NA,NA,NA,15
ath-miR5639-3p,NA,NA,NA,16
ath-miR5019,NA,NA,NA,NA
ath-miR836,NA,NA,NA,18
ath-miR156a-3p,NA,15,,
ath-miR156a-5p,NA,NA,NA,NA
ath-miR862-5p,NA,NA,NA,NA
ath-miR862-3p,NA,NA,NA,NA
ath-miR825,NA,NA,15,
ath-miR172a,NA,NA,NA,NA
ath-miR5021,NA,NA,NA,NA
ath-miR5637,NA,NA,NA,NA
ath-miR417,NA,NA,NA,NA
ath-miR407,NA,NA,NA,NA
ath-miR8170-5p,NA,NA,NA,NA
ath-miR8170-3p,NA,NA,NA,NA
ath-miR399d,6,,,
ath-miR399e,NA,NA,NA,NA
ath-miR399f,NA,NA,NA,NA
ath-miR1886.1,NA,NA,NA,NA
ath-miR1886.2,NA,NA,NA,NA
ath-miR1886.3,NA,NA,NA,NA
ath-miR390a-5p,NA,NA,NA,6
ath-miR390a-3p,NA,NA,NA,NA
ath-miR160a-5p,NA,NA,NA,8
ath-miR160a-3p,NA,13,,
ath-miR8121,NA,NA,NA,NA
ath-miR393a-5p,NA,NA,NA,NA
ath-miR393a-3p,NA,NA,NA,NA
ath-miR5662,NA,NA,NA,NA
ath-miR8171,10,,11,
ath-miR319c,NA,NA,NA,6;16
ath-miR778,NA,NA,NA,NA
ath-miR156j,NA,NA,NA,NA
ath-miR5655,NA,NA,NA,NA
ath-miR159c,NA,NA,NA,NA
ath-miR166a-5p,NA,15,,
ath-miR166a-3p,NA,NA,11,6
ath-miR408-5p,NA,NA,9,13
ath-miR408-3p,NA,NA,NA,NA
ath-miR403-5p,NA,NA,NA,NA
ath-miR403-3p,NA,NA,NA,NA
ath-miR164a,9;14,,16,
ath-miR5650,NA,NA,NA,NA
ath-miR167c-3p,NA,NA,NA,NA
ath-miR167c-5p,NA,15,,
ath-miR2111a-5p,NA,NA,NA,NA
ath-miR2111a-3p,NA,13,,
ath-miR158a-3p,NA,NA,NA,NA
ath-miR158a-5p,NA,NA,NA,NA
ath-miR172c,NA,NA,NA,NA
ath-miR169a-3p,NA,12,,6
ath-miR169a-5p,NA,NA,NA,NA
ath-miR823,NA,NA,NA,NA
ath-miR169f-3p,NA,7,,8
ath-miR169f-5p,NA,NA,NA,NA
ath-miR5023,NA,NA,NA,NA
ath-miR2934-3p,NA,NA,NA,NA
ath-miR782,NA,NA,NA,NA
ath-miR2934-5p,NA,8,,
ath-miR3440b-5p,NA,NA,NA,10
ath-miR3440b-3p,NA,NA,NA,NA
ath-miR157c-3p,NA,NA,NA,6
ath-miR157c-5p,NA,NA,NA,NA
ath-miR868-5p,NA,NA,NA,NA
ath-miR868-3p,NA,NA,NA,NA
ath-miR418,NA,NA,NA,NA
ath-miR167a-5p,NA,NA,NA,NA
ath-miR167a-3p,NA,NA,NA,NA
ath-miR173-5p,NA,NA,NA,NA
ath-miR173-3p,NA,NA,NA,NA
ath-miR853,NA,NA,NA,13
ath-miR8169,NA,NA,NA,NA
ath-miR169i,NA,NA,NA,NA
ath-miR169j,NA,NA,NA,NA
ath-miR169k,NA,NA,NA,NA
ath-miR169l,NA,NA,NA,NA
ath-miR169m,NA,NA,NA,NA
ath-miR169n,NA,NA,NA,NA
ath-miR5997,NA,NA,NA,NA
ath-miR8183,NA,NA,NA,NA
ath-miR5642a,NA,NA,NA,NA
ath-miR5645c,NA,NA,NA,NA
ath-miR5638a,NA,NA,NA,NA
ath-miR849,NA,NA,NA,NA
ath-miR8165,NA,NA,NA,NA
ath-miR8174,NA,NA,NA,NA
ath-miR5651,NA,NA,NA,NA
ath-miR2933b,NA,NA,NA,NA
ath-miR5645a,NA,NA,NA,NA
ath-miR8167b,NA,NA,NA,NA
ath-miR843,NA,NA,NA,NA
ath-miR861-3p,NA,NA,NA,NA
ath-miR861-5p,NA,NA,NA,NA
ath-miR8167c,NA,NA,NA,NA
ath-miR171a-5p,NA,7,,
ath-miR171a-3p,NA,NA,NA,NA
ath-miR5633,NA,NA,NA,NA
ath-miR771,NA,7,,
ath-miR851-3p,NA,NA,NA,NA
ath-miR851-5p,NA,NA,NA,NA
ath-miR172d-5p,NA,NA,NA,NA
ath-miR172d-3p,NA,NA,NA,NA
ath-miR393b-5p,NA,NA,NA,NA
ath-miR393b-3p,NA,NA,NA,NA
ath-miR827,NA,NA,NA,NA
ath-miR1888b,NA,6,,
ath-miR8182,NA,NA,NA,NA
ath-miR166b-5p,NA,15,,
ath-miR166b-3p,NA,NA,11,6
ath-miR167b,NA,NA,NA,NA
ath-miR165b,NA,NA,NA,NA
ath-miR5635d,NA,NA,NA,NA
ath-miR2936,NA,NA,NA,NA
ath-miR826a,NA,NA,NA,NA
ath-miR826b,NA,NA,NA,NA
ath-miR447c-3p,NA,NA,NA,NA
ath-miR447c-5p,NA,NA,NA,NA
ath-miR447a.2-3p,NA,NA,NA,NA
ath-miR447a-3p,NA,NA,NA,NA
ath-miR447b,NA,NA,NA,NA
ath-miR3932a,NA,NA,NA,NA
ath-miR841b-5p,NA,NA,NA,NA
ath-miR841b-3p,NA,NA,NA,NA
ath-miR397a,NA,NA,11,
ath-miR405d,NA,NA,NA,NA
ath-miR5645b,NA,NA,NA,NA
ath-miR401,NA,NA,NA,NA
ath-miR5660,NA,NA,NA,NA
ath-miR5645e,NA,NA,NA,NA
ath-miR832-5p,10,,,
ath-miR832-3p,NA,NA,NA,NA
ath-miR5028,NA,NA,NA,NA
ath-miR5020b,NA,NA,NA,NA
ath-miR5020a,NA,NA,NA,NA
ath-miR8172,NA,NA,NA,NA
ath-miR8179,NA,NA,NA,NA
ath-miR5026,NA,NA,NA,NA
ath-miR850,NA,NA,NA,12
ath-miR863-5p,NA,NA,NA,NA
ath-miR863-3p,NA,NA,NA,8
ath-miR857,NA,NA,NA,NA
ath-miR397b,NA,NA,NA,NA
ath-miR5996,NA,NA,NA,NA
ath-miR841a-3p,NA,NA,NA,NA
ath-miR841a-5p,NA,16,,
ath-miR3932b-3p,NA,NA,NA,NA
ath-miR3932b-5p,NA,NA,NA,NA
ath-miR852,NA,NA,NA,NA
ath-miR4221,NA,NA,NA,NA
ath-miR780.2,NA,NA,NA,NA
ath-miR780.1,NA,NA,NA,NA
ath-miR160b,NA,NA,NA,8
ath-miR5661,NA,NA,NA,NA
ath-miR168a-5p,NA,NA,11;16,
ath-miR168a-3p,NA,NA,NA,NA
ath-miR4240,NA,NA,NA,NA
ath-miR4239,NA,NA,NA,NA
ath-miR1887,NA,NA,NA,NA
ath-miR867,NA,NA,NA,NA
ath-miR169g-3p,NA,NA,NA,NA
ath-miR169g-5p,NA,NA,NA,NA
ath-miR8176,NA,NA,13,11
ath-miR5017-3p,NA,NA,NA,NA
ath-miR5017-5p,NA,NA,NA,NA
ath-miR845b,NA,NA,NA,NA
ath-miR845a,NA,NA,NA,NA
ath-miR319a,NA,NA,16,6
ath-miR824-5p,NA,NA,NA,NA
ath-miR824-3p,NA,NA,NA,NA
ath-miR5635c,NA,NA,NA,NA
ath-miR828,NA,NA,NA,NA
ath-miR5634,NA,6,,
ath-miR156b-5p,NA,NA,NA,NA
ath-miR156b-3p,NA,NA,NA,NA
ath-miR156c-3p,NA,NA,15,
ath-miR156c-5p,NA,NA,NA,NA
ath-miR419,NA,NA,NA,10
ath-miR8178,NA,NA,NA,NA
ath-miR5658,NA,NA,NA,NA
ath-miR164b-5p,9;14,,16,
ath-miR164b-3p,NA,NA,NA,NA
ath-miR2111b-5p,NA,NA,NA,NA
ath-miR2111b-3p,NA,NA,NA,NA
ath-miR822-3p,NA,NA,NA,NA
ath-miR822-5p,NA,NA,NA,NA
ath-miR172b-3p,NA,NA,NA,NA
ath-miR172b-5p,NA,NA,NA,NA
ath-miR162a-3p,8,,,
ath-miR162a-5p,NA,NA,NA,NA
ath-miR834,NA,NA,NA,NA
ath-miR166c,NA,NA,11,6
ath-miR166d,NA,NA,11,6
ath-miR5998a,NA,NA,NA,NA
ath-miR5998b,NA,NA,NA,NA
ath-miR8184,NA,NA,NA,NA
ath-miR156d-3p,NA,NA,NA,NA
ath-miR156d-5p,NA,NA,NA,NA
ath-miR5629,NA,NA,NA,NA
ath-miR156e,NA,NA,NA,NA
ath-miR848,NA,NA,10,
ath-miR398b-5p,NA,NA,NA,NA
ath-miR398b-3p,NA,NA,NA,NA
ath-miR398c-5p,NA,NA,NA,NA
ath-miR398c-3p,NA,NA,NA,NA
ath-miR865-5p,NA,NA,NA,NA
ath-miR865-3p,NA,NA,NA,NA
ath-miR5635a,NA,NA,NA,NA
ath-miR8167d,NA,NA,13,
ath-miR5631,NA,NA,NA,NA
ath-miR1888a,NA,NA,NA,NA
ath-miR8173,NA,NA,NA,NA
ath-miR3434-3p,NA,9,,
ath-miR3434-5p,NA,NA,NA,NA
ath-miR162b-3p,8,,,
ath-miR162b-5p,NA,NA,NA,NA
ath-miR169b-5p,NA,NA,NA,NA
ath-miR169b-3p,NA,NA,NA,NA
ath-miR5641,NA,NA,NA,NA
ath-miR860,NA,NA,14,
ath-miR156f-5p,NA,NA,NA,NA
ath-miR156f-3p,NA,NA,NA,NA
ath-miR8177,NA,NA,NA,NA
ath-miR5657,NA,NA,NA,NA
ath-miR164c-5p,9;14,,16,
ath-miR164c-3p,NA,NA,NA,NA
ath-miR5027,NA,NA,NA,NA
ath-miR854b,NA,NA,NA,NA
ath-miR5643a,NA,NA,NA,NA
ath-miR854d,NA,NA,NA,NA
ath-miR5643b,NA,NA,NA,NA
ath-miR854c,NA,NA,NA,NA
ath-miR854a,NA,NA,NA,NA
ath-miR854e,NA,NA,NA,NA
ath-miR5029,NA,NA,NA,NA
ath-miR396b-5p,NA,NA,NA,NA
ath-miR396b-3p,NA,NA,NA,12
ath-miR2937,NA,NA,NA,8
ath-miR5638b,NA,NA,NA,NA
ath-miR5645f,NA,NA,NA,NA
ath-miR3933,NA,NA,NA,NA
ath-miR169c,NA,NA,NA,NA
ath-miR869.2,NA,NA,NA,NA
ath-miR869.1,NA,NA,NA,NA
ath-miR866-3p,NA,NA,NA,11
ath-miR866-5p,NA,NA,NA,NA
ath-miR5659,NA,NA,NA,NA
ath-miR5644,NA,NA,9,
ath-miR319b,NA,NA,7,
ath-miR166e-3p,NA,NA,NA,NA
ath-miR166e-5p,NA,NA,NA,NA
ath-miR166f,NA,NA,11,6
ath-miR5628,NA,NA,NA,NA
ath-miR168b-3p,NA,NA,NA,NA
ath-miR168b-5p,NA,NA,NA,NA
ath-miR160c-3p,NA,NA,NA,NA
ath-miR160c-5p,NA,15,8;16,
ath-miR5665,NA,NA,NA,NA
ath-miR2939,NA,NA,NA,NA
ath-miR4243,NA,NA,NA,NA
ath-miR5015,NA,NA,NA,NA
ath-miR405b,NA,NA,NA,NA
ath-miR4245,NA,NA,NA,NA
ath-miR870-3p,NA,NA,NA,NA
ath-miR870-5p,NA,NA,NA,NA
ath-miR8181,NA,NA,NA,NA
ath-miR2938,NA,NA,NA,NA
ath-miR156h,NA,NA,NA,NA
ath-miR8167e,NA,NA,NA,NA
ath-miR390b-5p,NA,NA,NA,6
ath-miR390b-3p,NA,NA,NA,NA
ath-miR172e-5p,NA,NA,NA,NA
ath-miR172e-3p,NA,NA,NA,NA
ath-miR8167f,NA,NA,NA,NA
ath-miR391-5p,NA,NA,NA,NA
ath-miR391-3p,NA,NA,NA,NA
ath-miR399c-5p,NA,NA,NA,NA
ath-miR399c-3p,NA,NA,NA,NA
ath-miR420,NA,NA,NA,NA
ath-miR166g,NA,NA,11,6
ath-miR170-3p,NA,NA,14,
ath-miR170-5p,NA,NA,16,
