transcript,VHmode,Hmode,Nmode,Lmode
AT1G01220.1,439;721;734;1139;1263;1320;1400;2100;2199;2311;2378;2767;2783;2925;3045,20;309;424;456;483;530;1144;1243;1272;1659;1689;1802;2533;2564;2714;2911;2921;3081;3168;3172;3221;3343;3373;3382;3455,28;366;459;465;1101;1246;1425;1561;1995;2056;2094;2295;2501;2508;2512;2685;2898;3163;3212;3258;3380;3391;3532;3533,375;397;406;421;444;452;462;511;539;544;640;691;848;871;878;1117;1132;1150;1154;1275;1311;1431;1826;2024;2317;2437;2612;2614;2621;2710;2761;2790;2832;3072;3238;3246;3424
AT1G01220.3,439;920;933;1338;1462;1519;1599;2299;2398;2510;2577;2966;2982;3124;3244,20;309;424;456;483;530;1343;1442;1471;1858;1888;2001;2732;2763;2913;3110;3120;3280;3367;3371;3420;3542;3572;3581;3654,28;366;459;465;744;1300;1445;1624;1760;2194;2255;2293;2494;2700;2707;2711;2884;3097;3362;3411;3457;3579;3590;3731;3732,375;397;406;421;444;452;462;511;539;544;637;839;890;1047;1070;1077;1316;1331;1349;1353;1474;1510;1630;2025;2223;2516;2636;2811;2813;2820;2909;2960;2989;3031;3271;3437;3445;3623
AT1G01220.2,439;920;933;1405;1529;1586;1666;2366;2465;2577;2644;3033;3049;3191;3311,20;309;424;456;483;530;1410;1509;1538;1925;1955;2068;2799;2830;2980;3177;3187;3347;3434;3438;3487;3609;3639;3648;3721,28;366;459;465;744;1367;1512;1691;1827;2261;2322;2360;2561;2767;2774;2778;2951;3164;3429;3478;3524;3646;3657;3798;3799,375;397;406;421;444;452;462;511;539;544;637;839;890;1047;1093;1137;1144;1383;1398;1416;1420;1541;1577;1697;2092;2290;2583;2703;2878;2880;2887;2976;3027;3056;3098;3338;3504;3512;3690
AT1G01220.6,405;687;700;1172;1296;1353;1433;2133;2232;2344;2411;2800;2816;2958;3078,275;390;422;449;496;1177;1276;1305;1692;1722;1835;2566;2597;2747;2944;2954;3114;3201;3205;3254;3376;3406;3415;3488,332;425;431;1134;1279;1458;1594;2028;2089;2127;2328;2534;2541;2545;2718;2931;3196;3245;3291;3413;3424;3565;3566,341;363;372;387;410;418;428;477;505;510;606;657;814;860;904;911;1150;1165;1183;1187;1308;1344;1464;1859;2057;2350;2470;2645;2647;2654;2743;2794;2823;2865;3105;3271;3279;3457
AT1G01220.5,405;706;719;1191;1315;1372;1452;2152;2251;2363;2430;2819;2835;2977;3097,275;390;422;449;496;1196;1295;1324;1711;1741;1854;2585;2616;2766;2963;2973;3133;3220;3224;3273;3395;3425;3434;3507,332;425;431;1153;1298;1477;1613;2047;2108;2146;2347;2553;2560;2564;2737;2950;3215;3264;3310;3432;3443;3584;3585,341;363;372;387;410;418;428;477;505;510;625;676;833;879;923;930;1169;1184;1202;1206;1327;1363;1483;1878;2076;2369;2489;2664;2666;2673;2762;2813;2842;2884;3124;3290;3298;3476
AT1G01220.7,248;530;543;948;1072;1129;1209;1909;2008;2120;2187;2576;2592;2734;2854,118;233;265;292;339;953;1052;1081;1468;1498;1611;2342;2373;2523;2720;2730;2890;2977;2981;3030;3152;3182;3191;3264,63;175;268;274;910;1055;1234;1370;1804;1865;1903;2104;2310;2317;2321;2494;2707;2972;3021;3067;3189;3200;3341;3342,184;206;215;230;253;261;271;320;348;353;449;500;657;680;687;926;941;959;963;1084;1120;1240;1635;1833;2126;2246;2421;2423;2430;2519;2570;2599;2641;2881;3047;3055;3233
AT1G01220.8,198;679;692;1097;1221;1278;1358;2058;2157;2269;2336;2725;2741;2883;3003,68;183;215;242;289;1102;1201;1230;1617;1647;1760;2491;2522;2672;2869;2879;3039;3126;3130;3179;3301;3331;3340;3413,13;125;218;224;503;1059;1204;1383;1519;1953;2014;2052;2253;2459;2466;2470;2643;2856;3121;3170;3216;3338;3349;3490;3491,134;156;165;180;203;211;221;270;298;303;396;598;649;806;829;836;1075;1090;1108;1112;1233;1269;1389;1784;1982;2275;2395;2570;2572;2579;2668;2719;2748;2790;3030;3196;3204;3382
AT1G01225.1,521;731,85;172;465;473;853,107;363;408;549;642;677;1019,47;173;824
AT1G01230.1,NA,60;213;363;696,291;323;369;479;487;587,231;429
AT1G01240.4,47;334;974;983,311;426;502;701;826;885;992;995;1223,48;383;930;958;1064;1205;1253;1274,10;108;314;320;326;374;385;671;806;844;876;1072;1100;1141
AT1G01240.2,46;412;1052;1061,389;504;580;779;904;963;1070;1073;1301,47;461;1008;1036;1142;1283;1331;1352,9;107;392;398;404;452;463;749;884;922;954;1150;1178;1219;1606;1666
AT1G01240.1,46;223;863;872,200;315;391;590;715;774;881;884;1112,47;272;819;847;953;1094;1142;1163,9;107;203;209;215;263;274;560;695;733;765;961;989;1030;1417;1477
AT1G01240.3,46;848;1488;1497,825;940;1016;1215;1340;1399;1506;1509;1737,47;633;679;897;1444;1472;1578;1719;1767;1788,9;107;731;828;834;840;888;899;1185;1320;1358;1390;1586;1614;1655;2042;2102
AT1G01240.5,40;763;1403;1412,740;855;931;1130;1255;1314;1421;1424;1652,41;548;594;812;1359;1387;1493;1634;1682;1703,101;646;743;749;755;803;814;1100;1235;1273;1305;1501;1529;1570
AT1G01250.1,108;250;281;440,145;389;474;590,208;232;251;260;263;269;386;453;517;523;553;561;567;661,105;209;276;284;383;435;450;515;518;533;534
AT1G01260.3,396;637;810;835;1537;1743;1785;1860;1884;1892;1898,162;168;183;570;601;607;706;791;970;1078;1174;1369;1561;1619;1691;1791;1800;1963;1984;2034;2545,998;1031;1225;1645;1685;1834;2292;2540,111;131;163;165;176;241;315;811;847;1308;1451;1737;1844;1866;1986;2026;2157;2230;2306
AT1G01260.1,426;667;840;865;1567;1773;1815;1890;1914;1922;1928,117;123;138;600;631;637;736;821;1000;1108;1204;1399;1591;1649;1721;1821;1830;1993;2014;2064;2575,1028;1061;1255;1675;1715;1864;2322;2570,66;86;118;120;131;196;270;841;877;1338;1481;1767;1874;1896;2016;2056;2187;2260;2336
AT1G01260.2,259;500;673;698;1400;1606;1648;1723;1747;1755;1761,32;38;53;433;464;470;569;654;833;941;1037;1232;1424;1482;1554;1654;1663;1826;1847;1897,861;894;1088;1508;1548;1697;2155,33;35;46;111;185;253;674;710;1171;1314;1600;1707;1729;1849;1889;2020;2093;2169
AT1G01280.1,91;301;390;473;815;983;1242;1520,98;121;175;192;369;448;610;741;759;888;896;936;989;1205;1263;1282;1311;1368;1418;1424;1488;1505;1541,176;219;238;306;482;611;676;846;1191;1266;1297;1315;1317;1336;1364;1429,40;197;391;420;469;557;578;589;769;1114;1144;1243;1337;1411;1472;1516;1544
AT1G01290.1,144;168;863;1149;2005,282;426;462;606;828;889;917;981;1042;1426;1439;1606,254;522;615;622;630;1421;1583,230;385;460;471;499;548;777;798;1400;1816
AT1G01290.2,144;168;863;1384,282;426;462;606;828;889;917;985,254;522;615;622;630;962,230;385;460;471;499;548;777;798;1195
AT1G01300.1,1640,698;736;767;1022;1040;1281;1298;1306;1607;1759;1848,585;587;728;770;783;974;1005;1070;1319;1358;1442;1447;1531;1555;1573;1671;1760;1893;1940;1965,653;725;1041;1069;1086;1277;1284;1327;1436;1465;1514;1576;1633;1644;1712;1723;1753;1754;1765;1930
AT1G01305.1,128,122,110;173;174,107;111;133;150
AT1G01310.1,420;809,322;361;388;402;430;464;489;508;534;596;667;771;778,118;147;153;156;318;414;446;490;634;664;789;804;806,74;227;357;399;465;509;535;640;661;695;696;754;755;847
AT1G01320.3,378;569;847;2014;3478;3660;4033;4209;4221;4647;4989;5011;5185;5802,359;365;409;412;563;653;743;1108;1127;1209;1274;1358;1376;1391;1558;1887;1912;2126;2282;2361;2507;2736;2775;2872;2945;2993;3050;3071;3094;3100;3172;3416;3472;3536;3603;3669;3674;3976;4445;4490;4558;4856;4887;5355;5369;5598;5603;5702;5744,257;390;479;583;655;795;835;1060;1212;1451;1777;1919;2245;2344;2578;2939;2999;3157;3176;3479;3514;3597;3677;3891;3979;3985;4017;4027;4244;4439;4583;4692;4724;4881;5224;5432;5574;5738;5911,481;509;560;571;580;625;626;744;772;866;916;936;954;1097;1129;1195;1540;1721;1846;1965;2067;2324;2362;2366;2395;2710;2781;2994;3283;3346;3357;3791;4015;4476;4540;4562;4810;4883;5002;5038;5188;5445;5545;5580;5729;5788
AT1G01320.2,382;573;851;2018;3482;3664;4031;4207;4219;4645;4987;5009;5183;5800,363;369;413;416;567;657;747;1112;1131;1213;1278;1362;1380;1395;1562;1891;1916;2130;2286;2365;2511;2740;2779;2876;2949;2997;3054;3075;3098;3104;3176;3420;3476;3540;3607;3673;3678;3974;4443;4488;4556;4854;4885;5353;5367;5596;5601;5700;5742,261;394;483;587;659;799;839;1064;1216;1455;1781;1923;2249;2348;2582;2943;3003;3161;3180;3483;3518;3601;3681;3889;3977;3983;4015;4025;4242;4437;4581;4690;4722;4879;5222;5430;5572;5736;5909,485;513;564;575;584;629;630;748;776;870;920;940;958;1101;1133;1199;1544;1725;1850;1969;2071;2328;2366;2370;2399;2714;2785;2998;3287;3350;3361;3789;4013;4474;4538;4560;4808;4881;5000;5036;5186;5443;5543;5578;5727;5786
AT1G01320.1,375;566;844;2011;3499;3681;4054;4230;4242;4668;5010;5032;5206;5823,356;362;406;409;560;650;740;1105;1124;1206;1271;1355;1373;1388;1555;1884;1909;2123;2279;2358;2504;2733;2772;2893;2966;3014;3071;3092;3115;3121;3193;3437;3493;3557;3624;3690;3695;3997;4466;4511;4579;4877;4908;5376;5390;5619;5624;5723;5765,254;387;476;580;652;792;832;1057;1209;1448;1774;1916;2242;2341;2575;2960;3020;3178;3197;3500;3535;3618;3698;3912;4000;4006;4038;4048;4265;4460;4604;4713;4745;4902;5245;5453;5595;5759;5932,478;506;557;568;577;622;623;741;769;863;913;933;951;1094;1126;1192;1537;1718;1843;1962;2064;2321;2359;2363;2392;2707;2778;3015;3304;3367;3378;3812;4036;4497;4561;4583;4831;4904;5023;5059;5209;5466;5566;5601;5750;5809
AT1G01335.1,NA,6;31,,
AT1G01340.2,315;992;1090;1097;1579;1883;1919,124;268;275;592;755;969;986;1263;1342;1507;1735;2006;2126;2259;2308;2520,129;130;545;587;609;692;715;1046;1236;1334;1434;1502;2089;2106;2143;2195;2524,121;484;539;629;749;998;1086;1318;1408;1708;1719;1896;2099;2250
AT1G01340.1,234;911;1009;1016;1498;1802;1838,104;111;511;674;888;905;1182;1261;1426;1654;1925;2045;2178;2227,464;506;528;611;634;965;1155;1253;1353;1421;2008;2025;2062;2114,403;458;548;668;917;1005;1237;1327;1627;1638;1815;2018;2169
AT1G01350.1,766;938,120;551;659;710;756;913;995;1050;1208,83;86;369;454;485;749;800;1057;1216;1269;1328,593;741;828;889;999;1261
AT1G01355.2,35;41;497,78;100;165;312;439;475;551,47;123;139;181;327;338;469;488;494;641,48;161;454
AT1G01355.3,11;17;492,86;233;434;470;546,23;44;60;102;248;333;464;483;489;636,24;82;269;449
AT1G01355.1,11;17;504,86;245;446;482;558,23;44;60;102;260;345;476;495;501;648,24;82;281;461
AT1G01360.1,289;856,280;292;297;355;678,162;277;318;428;469;502;684;810;820;923;1158,66;294;304;323;336;667;850
AT1G01370.1,123;277;280;382;604;607;722;1158,202;311;400;441;939;1219,171;413;483;505;550;574;708,256;257;301;370;396;442;508;577;704
AT1G01370.2,123;364;367;469;691;694;809;1245,289;398;487;528;1026;1306,171;500;570;592;637;661;795,186;261;343;344;388;457;483;529;595;664;791
AT1G01370.3,123;277;280;382;604;607;722;800,202;311;400;441;948,171;413;483;505;550;574;708,256;257;301;370;396;442;508;577;704;791
AT1G01370.4,90;247;250;352;574;577;692,172;281;370;411;909,138;156;383;453;475;520;544;678,226;227;271;340;366;412;478;547;674
AT1G01380.2,808,328;584;829;840,498;824,188;322;353;522;697;787;802;830
AT1G01380.1,704,328;480;725;736,394;720,188;322;353;418;593;683;698;726
AT1G01380.3,NA,218;359,273,78;212;243;297;472
AT1G01390.2,92;239;344;975;1127;1361,449;467;606;761;808;871;918;921;1252;1292;1295;1310;1547,98;379;385;422;468;776;809;891;940;1148;1164;1232;1237;1247;1330;1443;1624,338;345;374;376;378;393;630;811;968
AT1G01390.1,50;197;302;933;1085;1319,407;425;564;719;766;829;876;879;1210;1250;1253;1268;1505,56;337;343;380;426;734;767;849;898;1106;1122;1190;1195;1205;1288;1401;1582,296;303;332;334;336;351;588;769;926
AT1G01400.1,NA,77;91;394;450;596;664;672,47;53;84;156;356;369;470,200;201;389;442;444;719;720
AT1G01410.1,497,18;317;438;733;999,29;508;881;923;997;1004,15;433;654;777;937
AT1G01420.2,75;172;484;1207;1423,319;756;888;951;998;1001;1332;1372;1397;1520,299;454;459;465;473;502;547;856;889;1032;1036;1043;1048;1160;1201;1216;1317;1327;1369;1386,456;458;529;550;1312;1403;1465
AT1G01420.1,317;1040;1256,152;589;721;784;831;834;1165;1205;1230;1353,132;287;292;298;306;335;380;689;722;865;869;876;881;993;1034;1049;1150;1160;1202;1219,289;291;362;383;1145;1236;1298
AT1G01430.1,624;690;1340;1343;1361;1530;1644;1837,720;983;1545;2113,793;905;1039;1298;1500;1525;1641;1838;1899;1926;1962,317;609;884;1146;1491;1501;1580;1619;1634;1635;1840
AT1G01440.1,26;1844;2288;2373,536;557;594;1009;1255;1356;1435;1746;1748;2153;2158;2172;2451;2493,371;492;540;588;1039;1107;1137;1352;1536;1702;1846;2002;2020;2042;2202;2402;2424;2482,29;293;374;410;445;447;690;895;1090;1157;1193;1219;1286;1426;1457;1519;1537;1680;1703;1705;1711;1734;1953;2032;2089;2141;2159;2168;2195;2283;2295
AT1G01450.1,147;1097;1181,631;782;1154;1164;1261,166;377;528;751;783;850;1093;1356,153;160;508;647;650;1129;1139;1195
AT1G01453.1,118;285;337;477;889;971;995;1010,45;92;334;421;424;450;676;822;897;1016,112;306;320;358;656;751;809;823;835;838;964,65;119;463;746;831;853;856;870;949;1048;1136;1187;1300
AT1G01453.2,39;91;231;643;725;749;764,88;175;178;204;430;576;651;770,60;74;112;410;505;563;577;589;592;718;969,217;500;585;607;610;624;703;802;1032;1083;1196
AT1G01460.1,14;269;331;966,12;70;241;1008;1068;1389;1729;1753,67;83;93;329;344;351;823;908;1336;1345;1364,63;288;478;541;707;773;1205;1342;1815
AT1G01470.1,1246,127;160;326;436;461;1201,187;206;250;320;356;357;358;388;411;455;751;1047;1055,145;202;322;323;373;380;443;700
AT1G01480.1,531;643;722,461;539;585;647;897;1186;1439;1441;1659;1804,185;548;813;920;942;1003;1020;1202;1321;1377;1447;1550;1552;1909,357;457;540;710;711;713;896;1084;1209;1256;1315;1362;1384;1419;1587;1823
AT1G01480.2,270;382;461,200;278;324;386;636;925;1178;1180;1398;1543,287;552;659;681;742;759;941;1060;1116;1186;1289;1291;1648,96;196;279;449;450;452;635;823;948;995;1054;1101;1123;1158;1326;1562
AT1G01490.3,1033;1253;1659,673;1170;1197;1209;1233;1346;1438;1631,68;1045;1094;1126;1198;1840,36;284;350;1011;1127;1177;1234;1562;1828
AT1G01490.4,825;1045;1451,636;962;989;1001;1025;1138;1230;1423,31;837;886;918;990;1632,247;313;803;919;969;1026;1354;1620
AT1G01490.2,610;830;1236,747;774;786;810;923;1015;1208,57;283;622;671;703;775;1417,218;251;499;565;588;704;754;811;1139;1405
AT1G01490.1,727;947;1353,864;891;903;927;1040;1132;1325,57;283;739;788;820;892;1534,218;251;601;682;705;821;871;928;1256;1522
AT1G01500.1,695;1027,349;354;496;538;652;853;874;879;920;1090;1118;1142;1685;1693;1746,322;470;493;528;958;1119;1545;1647;1699;1706,527;584;608;632;659;685;722;726;858;859;927;1103;1375;1519;1644;1747
AT1G01510.1,600;848;971;1210;1672;1961,146;437;464;532;573;918;1058;1259;1692;1974;2229;2436;2447;2531;2559,213;360;438;491;521;555;556;568;614;636;700;930;947;1213;1656;1770;1896;1906;2442;2474;2496;2618,75;218;449;478;574;641;758;842;870;1284;1291;1657;1686;1917;1941;2450;2507;2508;2600
AT1G01520.4,NA,271;299;382;387;529;610;789;853,46;166;307;428;451;687;796;1285;1308;1392;1415,28;377;429;855;958
AT1G01520.2,NA,271;299;382;387;529;610;789;853,46;166;307;428;451;687;796;1177;1365;1388;1472;1495,28;377;429;855;958;1104
AT1G01520.3,NA,271;299;382;387;529;610;789;853,46;166;307;428;451;687;796;1100;1288;1311;1395;1418,28;377;429;855;1027
AT1G01520.1,NA,271;299;382;387;529;610;789;853,46;166;307;428;451;687;796;1208;1231;1315;1338,28;377;429;855
AT1G01520.5,NA,201;229;312;317;459;535;622;801;865,96;237;358;381;699;808;1220;1243;1327;1350,307;359;867
AT1G01530.1,119;237,13;328;739,143;145;392;394;556;676,386;705
AT1G01540.2,713;726;795;945,275;574;595;752;784;848;1044;1067;1120;1262;1522;1658;1721;1731;1986,251;405;576;614;697;727;753;781;830;903;907;972;997;1132;1236;1416;1446;1659;1667;2024;2033,85;508;676;679;685;774;986;1084;1110;1142;1255;1291;1322;1670;1687;1699;1859;1874;1968;2112
