transcript,VHmode,Hmode,Nmode,Lmode
AT1G57040.1,25,32,,
AT1G57050.1,25,32,,
AT1G57060.1,27;48,,6;10,11;57;59
AT1G57070.1,25,32,,
AT1G57080.1,25,32,,
AT1G57090.1,27;48,,6;10,11;57;59
AT1G57100.1,25,32,,
AT1G57110.1,25,32,,
AT1G57120.1,27;48,,6;10,11;57;59
AT1G57130.1,25,32,,
AT1G57140.1,25,32,,
AT1G57150.1,NA,10;48,11,57;59
AT1G57160.1,25,32,,
AT1G57170.1,25,32,,
AT1G57180.1,27;48,,6;10,11;57;59
AT1G57190.1,25,32,,
AT1G57200.1,25,32,,
AT1G57210.1,NA,10;48,11,57;59
AT1G57220.1,25,32,,
AT1G57230.1,25,32,,
AT1G57240.1,27;48,,6;10,11;57;59
AT1G57250.1,25,32,,
AT1G57260.1,25,32,,
AT1G57270.1,NA,48,6;10,11;57;59
AT1G57280.1,25,32,,
AT1G57290.1,25,32,,
AT1G57300.1,27;48,,6;10,11;57;59
AT1G57310.1,25,32,,
AT1G57320.1,25,32,,
AT1G57330.1,NA,48,6;10,11;57;59
AT1G57340.1,25,32,,
AT1G57350.1,25,32,,
AT1G57360.1,27;48,,6;10,11;57;59
AT1G57370.1,25,32,,
AT1G57380.1,25,32,,
AT1G57390.1,NA,48,6;10,11;57;59
AT1G57400.1,25,32,,
AT1G57410.1,25,32,,
AT1G57420.1,NA,48,6;10,11
AT1G57430.1,25,32,,
AT1G57440.1,25,32,,
AT1G57450.1,29;50,,6;10,59;61
AT1G57460.1,NA,25;32,,
AT1G57470.1,25,32,,
AT1G57480.1,NA,48,6;10,11
AT1G57490.1,25,32,,
AT1G57500.1,25,32,,
AT1G57510.1,29;50,,6;10,59;61
AT1G57520.1,NA,25;32,,
AT1G57530.1,25,32,,
AT1G59570.1,27;48,,6;10,11;57;59
AT1G59880.1,NA,39,,
AT1G60580.1,NA,64,,46;47;48
AT1G60820.1,NA,64,,46;47;48
AT1G60840.1,NA,64,,46;47;48
AT1G60910.1,NA,64,,46;47;48
AT1G61020.1,NA,NA,13;49,
AT1G61880.1,NA,11;13,,22;49
AT1G61910.1,55,26,11;28;39,12;20
AT1G63510.1,NA,NA,NA,NA
AT1G63790.1,NA,NA,NA,24
AT1G64120.1,NA,11;26;59,28,20
AT1G64420.1,47,,49,25;40
AT1G65830.1,27;48,,6;10,11;57;59
AT1G68770.1,NA,39,,
AT1G68860.1,NA,NA,42;51,49;66
AT1G68950.1,NA,NA,25,
AT1G68970.1,NA,NA,NA,25
AT1G69000.1,11;31,13;16;22,65,
AT1G69130.1,NA,NA,42,49
AT1G69300.1,NA,49,33,26
AT1G70050.1,NA,39,47,48
AT1G71700.1,19,64,,46;47;48
AT1G72780.1,27;48,,6;10,11;57;59
AT1G73900.1,NA,65,40;47;48,38;49
AT1G74570.1,56,11;27,29,
AT1G74610.1,56,11;27,,29
AT1G75070.1,NA,65,40;47;48,38;49
AT1G75570.1,NA,48;66,49,21;33;50
AT1G75650.1,NA,48;66,49,21;33;50
AT1G75740.1,NA,46;65,49,64
AT1G75970.1,NA,47,48,32;49
AT1G76000.1,NA,65,40;47;48,38;49
AT1G76330.1,NA,48,,57;59
AT1G77040.1,NA,NA,32;47;48,
AT1G77190.1,48,25,11,12
AT1G77560.1,NA,NA,32;47;48,
AT1G78250.1,11,20,13;26,50
AT1G79240.1,40,25,6;11,27
AT1G79290.1,NA,26;46,31;47,24
AT1G79300.1,NA,26;46,31;47,24
AT1G79980.1,NA,NA,13;49,
AT1G80250.1,NA,11;13,,22;49
AT1G80430.1,27;48,,6;10,11;57;59
AT2G01160.1,NA,49,33,26
AT2G02600.1,NA,49,,25;40;56
AT2G02900.1,NA,49,,25;40;56
AT2G03490.1,47,,49,25;40
AT2G03660.1,NA,NA,NA,47
AT2G03700.1,NA,46,49;65,
AT2G03790.1,66,,,
AT2G07743.1,42,48;51,,57
AT2G07745.1,NA,32,39,
AT2G07746.1,NA,24;43,,39;47
AT2G07748.1,NA,NA,26,
AT2G07752.1,NA,47,49,
AT2G07753.1,NA,27,34,
AT2G07754.1,NA,11;19;26,,
AT2G07755.1,41,,,
AT2G07792.1,NA,21,18,
AT2G07793.1,NA,62,16;61,
AT2G07794.1,NA,NA,NA,NA
AT2G05315.1,21,28,,
AT2G07756.1,NA,40,24,
AT2G07757.1,NA,11;26,51;62,31;61
AT2G07758.1,NA,33,,
AT2G05355.1,23,,28;47,
AT2G07759.1,NA,11;19;26,,
AT2G07761.1,NA,27,34,
AT2G07762.1,49,42,,11;22;50
AT2G07763.1,NA,NA,NA,31
AT2G07764.1,NA,NA,24;31,28
AT2G07765.1,NA,11;29,26,12
AT2G07766.1,NA,62,16;61,
AT2G15950.1,25,,66,49;51
AT2G16240.1,NA,NA,25,32
AT2G17810.1,NA,NA,42;51,49;66
AT2G18310.1,NA,NA,33,26;49
AT2G21360.1,NA,39,,33
AT2G21570.1,25,,66,49;51
AT2G21670.1,56,11;27,29,
AT2G21700.1,NA,NA,25,32
AT2G22110.1,NA,67,,49;61;62
AT2G22220.1,NA,NA,42,49
AT2G22280.1,25,,11;27,
AT2G22380.1,NA,NA,42,49
AT2G22580.1,47,,49,25;40
AT2G23020.1,11;31,13;16;22,65,
AT2G23650.1,11;31,13;16;22,65,
AT2G24380.1,25,11,27,
AT2G25400.1,NA,25,11;27,
AT2G26090.1,56,11;27,29,
AT2G27560.1,NA,26;46,31;47,24
AT2G27850.1,NA,65,47,48;49
AT2G28730.1,NA,NA,NA,24
AT2G28770.1,NA,38;53,39;47;48,
AT2G29030.1,NA,65,47,48;49
AT2G29520.1,66,,,
AT2G30180.1,NA,64,,46;47;48
AT2G30190.1,NA,64,,46;47;48
AT2G30450.1,NA,64,,46;47;48
AT2G30850.1,NA,49,,25;40;56
AT2G32110.1,NA,50,34,27
AT2G33140.1,11,20,13;26,50
AT2G33650.1,NA,65,40;47;48,38;49
AT2G33660.1,NA,65,40;47;48,38;49
AT2G33890.1,NA,39,,
AT2G33900.1,NA,39,,
AT2G33910.1,NA,39,,
AT2G33920.1,NA,39,,
AT2G33930.1,NA,39,,
AT2G33940.1,NA,39,,
AT2G33950.1,39,,,33
AT2G33960.1,NA,39,,
AT2G33970.1,NA,39,,
AT2G34950.1,41,,,
AT2G34985.1,NA,11,,20
AT2G35220.1,11,20,13;26,50
AT2G36140.1,NA,49,33,26
AT2G36150.1,55,26,11;28;39,12;20
AT2G36280.1,25,,66,49;51
AT2G36510.1,NA,58,,
AT2G36520.1,NA,58,,
AT2G36600.1,NA,NA,11;25,66
AT2G36860.1,25,,66,49;51
AT2G38030.1,NA,48;66,49,33;50
AT2G39600.1,NA,NA,NA,24
AT2G39610.1,NA,NA,NA,24
AT2G39860.1,NA,65,40;47;48,38;49
AT2G42020.1,NA,NA,11;25,12
AT2G42420.1,NA,64,,46;47;48
AT2G42970.1,25,,11;27,
AT2G43300.1,NA,NA,NA,24
AT2G44320.1,NA,25,11,12
AT2G45020.1,NA,NA,11;25,66
AT2G45390.1,NA,27,25;32,56
AT2G46120.1,NA,48;66,49,21;33;50
AT2G47100.1,47,,49,25;40
AT2G47740.1,NA,NA,46,47
AT3G01705.1,NA,39,,
AT3G02315.1,NA,NA,42;51,49;66
AT3G02335.1,NA,65,40;47;48,38;49
AT3G02715.1,27,48,6;10,11;57;59
AT3G03845.1,NA,11;13,,22;49
AT3G03852.1,NA,11;13,,22;49
AT3G04525.1,40,25,11,27
AT3G05525.1,NA,47;65,48,32;49
AT3G05755.1,39,41,,33
AT3G05835.1,NA,26;51,42;49,57
AT3G06105.1,NA,64,,46;47;48
AT3G06335.1,NA,39,,
AT3G06665.1,NA,38;53,39;47,48
AT3G07025.1,66,,,
AT3G07055.1,11,20,13;26,50
AT3G07115.1,NA,48,28,57;59
AT3G07185.1,NA,26;46,31;47,24
AT3G09505.1,NA,NA,13;49,
AT3G09585.1,48,,,57;59
AT3G09595.1,NA,48,,57;59
AT3G10015.1,NA,58,,
AT3G10035.1,NA,NA,11;25,66
AT3G10415.1,25,66,,49;51
AT3G11285.1,NA,NA,NA,48
AT3G11395.1,NA,67,,49;61;62
AT3G11505.1,NA,39,,33
AT3G12385.1,NA,26;46,31;47,24
AT3G12585.1,NA,11,48,
AT3G13223.1,56,11;27,29,
AT3G13335.1,NA,65,40;47;48,38;49
AT3G14855.1,NA,NA,24,
AT3G15055.1,NA,26;51,42;49;67,57;66
AT3G15585.1,NA,NA,NA,25
AT3G16552.1,NA,27,25;32,
AT3G18815.1,41,,,
AT3G18952.1,25,,66,49;51
AT3G19235.1,NA,NA,NA,48
AT3G20655.1,25,,11;27,
AT3G20885.1,NA,25,11,12
AT3G21475.1,NA,39,,
AT3G25715.1,NA,NA,42,49
AT3G26747.1,NA,67,,49;61;62
AT3G27555.1,NA,65,40;47;48,38;49
AT3G27825.1,NA,39,,
AT3G27845.1,NA,39,,
AT3G28685.1,NA,49,,25;40;56
AT3G28695.1,NA,49,,25;40;56
AT3G29095.1,NA,39,,
AT3G30345.1,NA,27,25;32,56
AT3G44955.1,NA,65,47,48;49
AT3G45935.1,NA,67,,61;62;63
AT3G45955.1,NA,67,,61;62;63
AT3G45965.1,NA,67,,61;62;63
AT3G46585.1,NA,65,47,48;49
AT3G46875.1,6;27;48,10,,11;57;59
AT3G48275.1,NA,NA,NA,24
AT3G48515.1,25,,66,49;51
AT3G48745.1,NA,NA,32;47;48,
AT3G49925.1,NA,67,,61;62;63
AT3G50505.1,NA,47,48,32;49
AT3G50665.1,NA,47,48;65,32;49
AT3G50835.1,66,,,61
AT3G50895.1,NA,49,33,26
AT3G51135.1,NA,48;66,49,33;50
AT3G51265.1,NA,65,40;47;48,38;49
AT3G52285.1,NA,39,,
AT3G52345.1,NA,NA,24,
AT3G52565.1,55,26,11;28;39,12;20
AT3G52765.1,NA,65,40;47;48,38;49
AT3G52955.1,NA,58,,
AT3G53775.1,NA,26;46,31;47,24
AT3G53965.1,NA,64,,46;47;48
AT3G55735.1,11;31,13;16;22;65,,
AT3G55795.1,31,13;16;22,,
AT3G56085.1,NA,27,25;32,56
AT3G58035.1,NA,NA,11;25,12
AT3G58165.1,NA,64,,46;47;48
AT3G59415.1,NA,NA,NA,24
AT3G59923.1,NA,67,,61;62;63
AT3G59926.1,NA,65,40;47;48,38;49
AT3G60075.1,NA,25,11,12;74
AT3G60805.1,NA,27,25;32,56
AT3G61105.1,56,11;27,29,
AT3G61545.1,NA,48;66,49,21;33;50
AT3G61715.1,NA,64,,46;47;48
AT3G61755.1,47,,49,25;40
AT3G61825.1,NA,NA,25,20;32
AT3G62245.1,47,,49,25;40
AT3G62285.1,NA,NA,NA,25
AT3G62735.1,NA,NA,46,47
AT3G63003.1,47,,49,25;40
AT3G63006.1,47,,49,25;40
AT4G00085.1,NA,27,25;32,56
AT4G00985.1,NA,NA,25,32
AT4G01355.1,NA,NA,NA,NA
AT4G01865.1,NA,NA,NA,25
AT4G02055.1,NA,38;53,39;47;48;49;65,16
AT4G03135.1,NA,39,,
AT4G03285.1,NA,NA,NA,24
AT4G03405.1,NA,NA,25,20;32
AT4G03435.1,NA,NA,NA,25
AT4G08345.1,NA,42,,47
AT4G10815.1,NA,NA,46,47
AT4G11177.1,25,,66,49;51
AT4G11213.1,NA,11;26;59,28,20;53
AT4G11216.1,NA,11;26;59,28,20
AT4G11355.1,47,49,,25;40;56
AT4G11405.1,NA,NA,NA,24
AT4G11985.1,NA,67,,61;62;63
AT4G12065.1,NA,49,,25;40;56
AT4G12115.1,NA,27,25;32,56
AT4G12405.1,NA,NA,33,26;49
AT4G13265.1,56,11;27,29,
AT4G13445.1,NA,48;66,49,33;50
AT4G14345.1,NA,38;53,39;47;48,
AT4G14415.1,41,,,
AT4G15775.1,NA,27,25;32,56
AT4G16105.1,41,,,
AT4G16235.1,66,,,
AT4G16465.1,41,,,
AT4G16475.1,56,11;27,,29
AT4G17612.1,NA,11;13,,22;49
AT4G17765.1,NA,11;13,,22;49
AT4G17975.1,NA,NA,NA,24
AT4G18255.1,55,26,11;28;39,12;20
AT4G18725.1,NA,48;66,49,21;33;50
AT4G18815.1,NA,65,47,48;49
AT4G20115.1,41,,,
AT4G22265.1,25,,66,49;51
AT4G22635.1,NA,NA,33,26;49
AT4G22754.1,NA,27,25;32,56
AT4G23635.1,11,26;59,28,12;20
AT4G23915.1,47,,49,25;40
AT4G24025.1,NA,NA,46,47
AT4G24565.1,48,25,11,12
AT4G25435.1,NA,27,25;32,56
AT4G25585.1,NA,48,28,57;59
AT4G25635.1,NA,11;26;59,28,20
AT4G26225.1,NA,39,,
AT4G26375.1,NA,NA,42,49
AT4G26385.1,NA,NA,42,49
AT4G26675.1,47,49,,25;40;56
AT4G27395.1,NA,NA,NA,25
AT4G27875.1,NA,NA,25,32
AT4G27885.1,47,,49,25;40
AT4G28362.1,46,26;47,31,24
AT4G28915.1,NA,25,11,12
AT4G29415.1,NA,39,,
AT4G31075.1,NA,25,11;27,
AT4G31265.1,25,,11;27,
AT4G31695.1,11,20,13;26,50
AT4G31895.1,41,,,
AT4G32265.1,NA,25,11;27,
AT4G32475.1,NA,64,,46;47;48
AT4G32765.1,48,,,57;59
AT4G34035.1,NA,25,11,
AT4G34415.1,NA,NA,NA,NA
AT4G34695.1,NA,48;66,49,21;33;50
AT4G34975.1,41,,,
AT4G36197.1,NA,48;66,49,21;33;50
AT4G36245.1,NA,39,,33
AT4G36635.1,NA,26;51,42;49;67,57;66
AT4G37175.1,NA,47;65,48,32;49
AT4G39195.1,25,,66,49;51
AT4G39345.1,NA,38;53,39;47,48
AT4G39615.1,NA,11;13,,22;49
AT4G39672.1,NA,67,,49;61;62
AT4G39865.1,25,,11;27,
AT4G39985.1,NA,NA,42;51,49;66
AT5G01365.1,NA,49,,25;40;56
AT5G02025.1,19,64,,
AT5G02385.1,NA,27,25;32,56
AT5G02435.1,NA,67,,61;62;63
AT5G02505.1,NA,38;53,39;47,48
AT5G02615.1,NA,NA,13;49,
AT5G02725.1,48,,,57;59
AT5G02815.1,NA,48,,57;59
AT5G03445.1,25,,66,49;51
AT5G03452.1,NA,NA,NA,25
AT5G03705.1,56,11;27,29,
AT5G03745.1,NA,58,,
AT5G03775.1,NA,NA,11;25,66
AT5G05795.1,NA,NA,NA,48
AT5G05945.1,NA,65,40;47;48,38;49
AT5G05985.1,NA,67,,49;61;62
AT5G06125.1,55,26,11;28;39,12;20
AT5G06685.1,NA,NA,11;25,12
AT5G07135.1,NA,64,,46;47;48
AT5G07315.1,25,,66,49;51
AT5G07625.1,NA,11;26;59,28,12;20
AT5G07675.1,NA,49,,25;40;56
AT5G08075.1,47,,49,25;40
AT5G09345.1,NA,11;26;59,28,12;20
AT5G09655.1,NA,67,,61;62;63
AT5G09755.1,NA,48;66,49,21;33;50
AT5G09975.1,56,11;27,29,
AT5G10235.1,25,11,27,
AT5G10455.1,NA,25,11,12
AT5G10525.1,NA,NA,NA,48
AT5G11225.1,NA,65,47,48;49
AT5G11325.1,NA,65,47,48;49
AT5G11475.1,NA,NA,NA,25
AT5G13845.1,NA,26;46,31;47,24
AT5G14035.1,NA,27,25;32,56
AT5G14495.1,NA,65,40;47;48,38;49
AT5G15175.1,NA,67,,49;61;62
AT5G15805.1,NA,NA,42,49
AT5G15815.1,NA,65,40;47;48,38;49
AT5G16375.1,27;48,,6;10,11;57;59
AT5G18005.1,NA,11;13,,22;49
AT5G18015.1,NA,11;13,,22;49
AT5G18085.1,NA,11;13,,22
AT5G18755.1,NA,39,,
AT5G19095.1,NA,64,,46;47;48
AT5G20852.1,NA,NA,NA,24
AT5G20854.1,NA,NA,NA,24
AT5G20856.1,NA,NA,NA,24
AT5G20858.1,NA,NA,NA,24
AT5G21378.1,NA,65,40;47;48,38;49
AT5G22315.1,NA,NA,25,20;32
AT5G23665.1,NA,NA,32;47;48,
AT5G25585.1,11,26;59,28,12;20
AT5G25625.1,NA,NA,NA,25
AT5G27715.1,NA,47;65,48,32;49
AT5G32017.1,NA,65,40;47;48,49
AT5G35605.1,NA,NA,NA,48
AT5G37795.1,NA,49,33,26
AT5G38155.1,NA,67,,49;61;62
AT5G38905.1,NA,NA,42;51,49;66
AT5G39535.1,NA,39,,
AT5G39895.1,NA,49,,25;40;56
AT5G40545.1,NA,65,40;47;48,38;49
AT5G40945.1,56,11;27,29,
AT5G41265.1,NA,NA,NA,NA
AT5G41605.1,NA,11;26;59,28,20
AT5G41675.1,11;31,13;16;22,65,
AT5G43455.1,47,49,,25;40;56
AT5G43535.1,19,64,,46;47;48
AT5G44283.1,NA,26;46,31;47,24
AT5G44375.1,66,,,
AT5G44705.1,41,,,
AT5G45715.1,NA,47;65,48,32;49
AT5G45745.1,NA,65,47,48;49
AT5G46105.1,NA,39,,
AT5G46325.1,55,26,11;28;39,12;20
AT5G46595.1,NA,NA,NA,24
AT5G48465.1,NA,26,31,24
AT5G48675.1,NA,26;46,31;47,24
AT5G48835.1,11,20,13;26,50
AT5G49435.1,NA,38;53,39;47,48
AT5G50805.1,NA,NA,32;47;48,
AT5G50995.1,25,,66,49;51
AT5G51055.1,27;48,,6;10,11;57;59
AT5G52355.1,NA,48,28,57;59
AT5G52495.1,11,26;59,28,12;20
AT5G52815.1,NA,26;46,31;47,24
AT5G53487.1,NA,NA,46,47
AT5G54365.1,NA,NA,NA,25
AT5G54375.1,NA,NA,NA,25
AT5G54865.1,11;31,13;16;22,65,
AT5G55045.1,NA,NA,NA,25
AT5G55055.1,NA,NA,NA,25
AT5G55505.1,NA,49,,25;40;56
AT5G56365.1,NA,NA,42;51,49;66
AT5G56745.1,NA,39,,
AT5G56975.1,NA,67,,49;61;62
AT5G57885.1,11;31,13;16;22,65,
AT5G58495.1,48,,28;59,57
AT5G59055.1,NA,65,40;47;48,38;49
AT5G59385.1,NA,65,47,48;49
AT5G59395.1,NA,65,47,48;49
AT5G59945.1,NA,67,,61;62;63
AT5G60285.1,56,11;27,29,
AT5G60963.1,47,,49,25;40
AT5G60966.1,NA,46;65,49,64
AT5G61345.1,NA,26;46,31;47,24
AT5G61445.1,NA,49,,25;40;56
AT5G61835.1,25,,66,49;51
AT5G63145.1,NA,NA,NA,24
AT5G64505.1,NA,67,,61;62;63
AT5G64735.1,NA,38;53,39;47,48
AT5G64855.1,56,11;27,29,
AT5G65015.1,25,,11;27;66,
AT5G65305.1,11,20,13;26,50
AT5G65445.1,NA,25,11,12;27
AT5G65535.1,NA,NA,NA,48
AT5G65615.1,NA,49,33,26
AT5G66535.1,NA,NA,33,26;49
AT5G66568.1,NA,NA,42;51,49;66
AT5G66755.1,NA,47;65,48,32;49
AT5G66817.1,NA,64,,46;47;48
AT5G67455.1,11;31,13;16;22,65,
ATCG00010.1,26,,50,
ATCG00030.1,65,,,31;59;60
ATCG00060.1,6,24,27,16;47
ATCG00090.1,NA,NA,NA,NA
ATCG00100.1,NA,50,,
ATCG00110.1,NA,NA,25,
ATCG00200.1,24,6;11;31,66,
ATCG00230.1,42,48;51,,57
ATCG00240.1,NA,29;48,16;33,
ATCG00250.1,45;48,,,26
ATCG00260.1,NA,40,,
ATCG00290.1,NA,NA,62;63;83,68
ATCG00310.1,NA,46;48,,
ATCG00320.1,NA,NA,33,13;28;49
ATCG00370.1,NA,11;26,62,61
ATCG00390.1,NA,NA,NA,13;25;68
ATCG00400.1,11,,33,26
ATCG00410.1,25,,32,
ATCG00450.1,NA,NA,NA,45
ATCG00460.1,41,,,
ATCG00610.1,NA,NA,26,
ATCG00620.1,NA,NA,24,16
ATCG00850.1,NA,11;43,,
ATCG00880.1,NA,54,,
ATCG00910.1,NA,NA,NA,NA
ATCG00930.1,42,,,48
ATCG00940.1,42,,,49
ATCG00980.1,NA,33,49,13
ATCG00990.1,NA,NA,24;31,28
ATCG01030.1,NA,42,,47
ATCG01140.1,NA,NA,24;31,28
ATCG01150.1,NA,33,49,13
ATCG01190.1,42,,,49
ATCG01200.1,42,,38,48
ATCG01220.1,NA,NA,NA,NA
ATCG01260.1,NA,54,,
ATCG01290.1,NA,11;43,,
ATMG00100.1,32,25,50,48
ATMG09450.1,NA,26;54;61,33;49;55,
ATMG00190.1,NA,40,24,
ATMG00230.1,NA,11;26,51;62,31;61
ATMG00250.1,NA,33,,
ATMG00330.1,NA,11;19;26,,
ATMG00340.1,NA,27,34,
ATMG00350.1,49,42,,11;22;50
ATMG00360.1,NA,NA,NA,31
ATMG00380.1,NA,NA,24;31,28
ATMG00390.1,NA,11;29,26,12
ATMG00420.1,NA,62,16;61,
ATMG00460.1,NA,NA,NA,NA
ATMG09730.1,NA,26;54;61,33;49;55,
ATMG09740.1,NA,27,34,47
ATMG00700.1,32,25,50,48
ATMG00780.1,NA,11;19;26,,
ATMG00790.1,NA,27,34,
ATMG00800.1,NA,47,49,
ATMG00930.1,NA,NA,26,
ATMG00950.1,NA,24;43,,39;47
ATMG01070.1,42,48;51,,57
ATMG01160.1,NA,62,16;61,
ATMG09950.1,NA,21,18,
ATMG01340.1,41,,,
ATMG09960.1,NA,NA,28,
ATMG09980.1,26,51,49,
